sample_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,true_cluster,lac_cluster,lac_distance,tsne_1,tsne_2
S0021,3.544609,3.163843,-0.124448,2.436455,2.550670,-2.960569,-1.307681,-3.257180,1,2,0.17408759,8.1460841,0.71320246
S0022,-3.434303,-2.898874,3.831246,-1.478496,1.509281,-1.625269,2.049461,0.846892,0,0,0.41925355,-2.6546167,1.6106988
S0023,-3.287888,-3.009617,-0.701658,-2.478035,1.143272,-0.400001,-3.235774,-2.234274,0,0,0.27047181,-0.1947754,-1.1111277
S0024,-3.595215,-3.048486,0.719594,-1.629862,-0.680693,2.338611,-0.783781,1.622534,0,0,0.38318986,-2.7965647,0.15361788
S0025,-3.395169,-2.683768,1.648625,-2.387507,0.055137,-0.871505,-0.720881,2.206067,0,0,0.26312949,-2.7285619,0.46468881
S0026,-2.794451,-2.864059,-0.653497,-0.687128,-2.152511,0.876550,-1.032685,0.027487,0,0,0.15206383,-1.5191614,-0.2807049
S0027,3.217383,2.311922,-0.240881,-2.474812,2.369004,-2.646513,0.510774,-1.221720,1,2,0.16060425,6.004769,-0.98287225
S0028,-3.123814,-1.677782,-1.558496,1.742901,-3.029166,-0.602793,0.358057,1.289689,0,0,0.29320058,-1.3084121,-0.081938302
S0029,-3.753607,-2.767469,-0.096809,3.182274,0.234494,1.768931,-1.098450,-2.606876,0,0,0.37446024,-0.68166574,-0.13760306
S0030,-3.034075,0.968462,2.482846,-2.882362,-3.283054,2.745477,-1.774518,-2.821796,2,1,0.23515537,-5.9086478,-1.2506184
S0031,3.101153,2.922193,0.020567,2.392129,2.971237,-2.036999,1.219056,5.120837,1,2,0.27993933,7.4461863,-2.4041427
S0032,0.927739,-1.039570,3.637224,-3.313794,-2.850138,2.797622,1.678438,0.985819,2,1,0.10373349,-5.9244471,1.3194322
S0033,2.413996,2.240860,2.720211,1.147561,2.115588,-3.057545,0.072121,-2.676432,1,2,0.12597804,8.1699864,0.32242749
S0034,-3.230509,-2.947575,1.108763,2.032150,-0.205105,-1.512282,-1.813859,1.431304,0,0,0.17123836,0.41258912,-0.38447447
S0035,-2.679948,-2.063659,-0.627705,-0.832233,1.544357,-0.344348,-2.806510,-2.493232,0,0,0.18884699,-0.19179541,-0.94239871
S0036,0.179059,-0.154981,3.395403,-2.827677,-2.132421,2.121395,1.975194,3.583661,2,1,0.14672623,-6.1620091,2.1026092
S0037,-0.969788,2.066063,1.802870,-3.393283,-3.427557,2.045574,0.544865,-0.394299,2,1,0.14004544,-6.8513095,0.35903052
S0038,1.285914,3.595134,2.411693,-3.418732,-2.370503,3.386114,-2.689223,0.547879,2,1,0.31375167,-7.9430908,-0.88288171
S0039,-2.834062,-3.027385,1.581211,-0.089867,-0.332752,-1.225673,2.689591,-0.339965,0,0,0.12900731,-1.8770038,1.4841923
S0040,2.405135,2.246310,2.873741,-2.818273,-3.825457,1.864009,-0.646314,-2.358693,2,1,0.24309749,-7.1561084,-0.69098294
S0041,-3.192748,-2.693673,0.958157,0.657799,0.742919,0.775478,4.711625,-0.894113,0,0,0.23160606,-1.60903,1.9495949
S0042,-1.863141,-0.021752,2.894655,-3.607945,-3.359913,2.877162,-0.772095,-2.249017,2,1,0.11809076,-6.0046653,-0.81393767
S0043,2.664430,2.656005,2.079562,1.095771,1.239791,-2.332598,0.158474,0.910559,1,2,0.10711331,7.5339019,-0.45405541
S0044,1.888513,-1.756726,2.544713,-2.720726,-2.621845,2.856117,-0.030023,1.543660,2,1,0.13873482,-5.9485994,1.3358867
S0045,-3.007561,-2.969174,1.582916,1.400025,0.118855,2.029034,1.028521,-1.890443,0,0,0.28516743,-1.4047004,0.96816797
S0046,-0.825913,-0.764593,3.157039,-3.122881,-1.976370,1.261522,-1.818751,-1.721316,2,1,0.14010546,-5.6780378,-0.62792334
S0047,3.235769,3.006358,0.279773,0.633162,2.529235,-2.499954,-1.587428,0.696287,1,2,0.032004835,6.749773,-0.32652023
S0048,-2.289409,-2.412005,-0.213549,0.514487,2.350803,0.394889,-0.904040,2.433835,0,0,0.25567362,0.65300961,0.55934223
S0049,0.295903,-0.702835,3.923913,-3.087086,-1.582662,1.892943,1.291970,0.702681,2,1,0.12221457,-5.8019553,1.0197617
S0050,0.533552,3.663132,2.956453,-3.153542,-2.914440,1.932256,-2.737838,-1.955354,2,1,0.26469575,-7.4088694,-1.2145458
S0051,2.714528,2.906882,1.923249,0.419180,2.628920,-2.351311,-1.899360,-0.324563,1,2,0.045234211,7.0960316,0.37646197
S0052,-2.857978,-1.836781,-1.312351,-1.177464,-3.865120,-0.292799,-2.337312,-1.164767,0,0,0.33494419,-1.355915,-1.1850458
S0053,-3.394587,-2.551844,-3.163911,-2.640681,3.832645,-2.317361,-2.412928,4.041210,0,0,0.98891324,1.43796,0.92984765
S0054,2.951357,3.546584,2.832039,0.694524,2.080319,-3.111826,2.620514,0.578048,1,2,0.21443811,8.4820082,-0.79878822
S0055,2.555933,2.320992,1.446453,3.097386,1.739800,-2.283945,-2.289197,1.044334,1,2,0.18063829,6.3977949,0.22653456
S0056,1.517736,2.228252,4.356747,0.782792,2.192235,-2.244206,-3.434108,-0.654111,1,2,0.30550767,6.6727568,1.3250695
S0057,2.853914,2.448256,-0.453559,0.274613,3.309321,-3.911662,-0.521071,0.388327,1,2,0.11330867,6.7191335,-0.96125789
S0058,-3.172434,-1.696206,-1.992682,-1.610509,1.157988,-0.710289,-0.011268,-0.359574,0,0,0.19671424,-0.072134622,0.65913992
S0059,-2.783664,-2.254408,1.197693,-0.177274,-0.761937,-0.143493,-3.712136,-3.183647,0,0,0.22264796,-0.51764063,-1.4805618
S0060,2.199361,2.102932,0.791346,0.943538,2.651951,-3.277021,-5.082228,0.119578,1,2,0.22716968,6.2161278,0.90449106
S0061,2.003470,1.851764,-2.667934,-4.200509,2.126955,-2.087811,-0.626745,0.435138,1,2,0.51485563,5.2410018,-1.265486
S0062,-2.858919,-2.039030,3.594116,5.244952,0.745937,-1.781169,-4.690502,0.588965,0,0,0.76837034,1.1537054,-1.936881
S0063,0.848045,-0.960214,2.794181,-2.318679,-3.072322,1.172971,3.544061,5.608521,2,1,0.44578826,-6.1550273,2.6362166
S0064,3.808105,1.468381,-1.063986,1.063631,1.630123,-1.688228,0.810385,1.862485,1,2,0.20382806,7.1473432,-1.6361801
S0065,-2.665536,-2.201265,-1.197917,0.417890,0.210034,0.393639,1.917143,0.491910,0,0,0.11008223,-0.78115284,1.1070509
S0066,-1.692720,-3.144362,-0.662848,0.614800,3.111656,-1.776343,-0.539611,1.710143,0,0,0.37866098,0.75075013,0.66110722
S0067,2.764112,2.729693,1.263517,0.248835,2.918073,-2.373934,1.166142,-1.550281,1,2,0.051863473,8.0846704,-0.32046519
S0068,0.464812,2.816492,2.819115,-3.470561,-2.746710,2.748784,-3.444670,1.402436,2,1,0.26431189,-8.0394495,-0.89294036
S0069,2.969338,1.973551,-0.602021,2.340080,2.820460,-1.547229,2.590306,0.965991,1,2,0.22025823,7.7592435,-1.6925942
S0070,-3.070487,-2.522419,-1.178618,0.802930,-0.818970,-2.206090,-2.811463,0.379693,0,0,0.18924909,0.092482639,-0.44426174
S0071,2.905378,2.664331,0.651459,2.377191,2.311468,-3.312272,2.347889,-0.729274,1,2,0.16236145,8.23307,-1.1029858
S0072,-3.365823,-2.728446,-1.101774,-0.253424,1.918764,0.282687,-0.348997,-2.278438,0,0,0.16661139,-0.4042741,0.30690086
S0073,-2.848091,-1.725885,0.163053,1.159090,-3.690310,-0.087693,-1.855107,-2.681389,0,0,0.32796601,-1.21224,-1.161824
S0074,-2.862877,-3.071991,1.350812,1.693016,-3.511863,-2.343923,0.281249,-0.695734,0,0,0.35583385,-1.5663235,-0.64544133
S0075,1.284876,0.434960,2.693012,-2.274411,-2.742359,2.517659,0.591610,-1.363265,2,1,0.071683365,-6.6071796,0.011445186
S0076,1.399981,1.452615,2.190064,-4.123634,-1.949040,3.153249,-2.245371,-4.091638,2,1,0.32091018,-6.9801467,-1.4582175
S0077,-3.267367,-3.295332,0.129833,-0.953087,0.418817,0.039334,3.523914,-0.526582,0,0,0.16221349,-1.6277138,1.6791052
S0078,2.249397,1.143668,3.370007,-2.681547,-2.312565,1.519014,0.183966,-1.223622,2,1,0.14928388,-6.9379621,-0.1284028
S0079,0.178263,1.675509,3.898797,-2.741851,-2.704444,2.008778,0.025193,-0.658382,2,1,0.084914991,-6.669346,0.050369402
S0080,2.441308,2.270662,-0.527745,3.487016,3.108296,-3.029150,0.764959,-0.895572,1,2,0.20747041,7.9941898,-1.3238467
S0081,-1.564285,0.319313,3.606259,-3.161896,-3.430579,2.490340,-1.985331,-0.753150,2,1,0.13327755,-5.8880347,-0.60305476
S0082,0.987170,0.338352,2.275936,-3.033990,-2.355880,2.005168,0.417655,-3.200609,2,1,0.096491033,-6.7377128,-0.67616389
S0083,3.557296,2.691689,-0.236048,0.627797,3.573057,-1.357661,0.152638,0.352419,1,2,0.12488167,7.1184941,-1.1323869
S0084,2.897419,1.498239,2.887658,-0.823859,2.559334,-1.779747,-3.524971,-2.753624,1,2,0.25740251,7.1685444,1.4269325
S0085,2.084297,2.332196,-3.583462,-2.691109,3.250124,-2.007648,-1.582857,-3.305508,1,2,0.48684664,5.1120612,-1.274814
S0086,-2.694489,-2.462832,0.520415,1.136319,-2.622880,-0.575408,-1.034820,-1.405531,0,0,0.12929324,-1.161776,-0.69742712
S0087,3.391175,2.404674,2.108245,1.351564,3.501355,-2.098074,-3.458489,-0.147297,1,2,0.15764741,6.6617511,0.79303946
S0088,3.147997,2.314043,-3.162099,0.590392,3.450043,-3.343624,1.900422,-0.722755,1,2,0.29076526,6.3648572,-1.8447373
S0089,-2.052290,-2.015165,3.223907,-2.970863,-2.198194,2.396781,0.611916,0.347862,2,1,0.10994413,-5.1002648,0.68461145
S0090,3.278338,-2.973166,2.359465,-3.211803,-2.786324,2.946931,0.531651,-3.904917,2,1,0.37775559,-7.9420099,0.12875824
S0091,-1.746269,-1.597852,3.667892,-3.095672,-1.727898,2.256605,3.201100,0.289269,2,1,0.22056494,-5.053791,1.5549452
S0092,2.923739,2.691697,1.799684,-1.905365,2.431245,-1.685199,-1.635894,-1.808950,1,2,0.15685262,7.3452635,0.80155111
S0093,2.910194,2.598388,1.476951,-0.708734,2.786642,-2.646211,-0.258593,1.824942,1,2,0.052258646,7.0416922,-0.69654389
S0094,-2.757848,-1.764431,-0.278110,-1.252697,-0.402946,0.436494,0.388461,-2.385654,0,0,0.16042971,-0.98110235,0.37049583
S0095,2.934457,1.584547,1.670935,-1.089001,2.206355,-3.088364,-1.439423,0.941359,1,2,0.10341587,6.8675115,-0.029604642
S0096,-3.413754,-2.226562,0.256366,1.242874,-0.769055,0.285371,1.376299,-0.680562,0,0,0.065402565,-1.2423485,0.80088361
